City,County,Region, Area (sq. mi.) ,Latitude,Longitude, pop2020 ,pop2023,Tier,Growth, Population Density ,Median Household Income,Income Generated (median),Median Age,Bachelors Degree,Graduate Degree,Poverty Rate,Unemployment Rate,Housing Units,Occupied Units,Vacancy Rates,Median Value of Owner-Occupied Units,Total Value of Residential Units
Dade City,Pasco,Suncoast,6,28.3559,-82.1934,"7,275","7,527",4,1.10%,"1,270","$56,395 ","$169,636,160 ",38,17.00%,3.00%,11.20%,7.10%,"3,008","2,433",19%,"$150,700 ","$366,653,100 "
Dade City North ,Pasco,Suncoast,2,,,,"2,759",4,,"1,782","$31,662 ","$25,297,938 ",32,5%,2%,8.40%,6.50%,799,723,10%,"$55,700 ","$40,271,100 "
Dania Beach,Broward,Southeast Florida,8,26.0572,-80.1646,"31,723","32,347",3,0.60%,"4,142","$44,477 ","$713,900,327 ",41,19.00%,11.00%,12.80%,8.40%,"16,051","12,819",20%,"$217,400 ","$2,786,850,600 "
Davenport,Polk,Central Florida,4,28.1612,-81.6108,"9,043","10,891",4,6.00%,"2,996","$56,345 ","$199,912,060 ",37,9.00%,14.00%,8.10%,5.70%,"3,548","2,837",20%,"$234,600 ","$665,560,200 "
Davie,Broward,Southeast Florida,35,26.0792,-80.283,"105,691","109,801",2,1.30%,"3,145","$77,453 ","$3,132,044,414 ",37,24.00%,14.00%,8.80%,4.20%,"40,438","37,138",8%,"$344,800 ","$12,805,182,400 "
Daytona Beach,Volusia,Northeast Florida,66,29.1907,-81.0971,"72,647","76,139",3,1.60%,"1,160","$42,392 ","$1,613,693,872 ",39,16.00%,8.00%,15.30%,5.20%,"38,066","30,974",19%,"$176,800 ","$5,476,203,200 "
Daytona Beach Shores,Volusia,Northeast Florida,1,29.1713,-80.9808,"5,179","5,458",4,1.70%,"6,004","$52,699 ","$349,341,671 ",65,21.00%,21.00%,5.00%,6.90%,"6,629","3,243",51%,"$341,300 ","$1,106,835,900 "
De Leon Springs ,Volusia,Northeast Florida,3,,,,"2,481",4,,921,"$47,960 ","$42,732,360 ",41,8%,5%,7.70%,0.00%,891,786,12%,"$173,600 ","$136,449,600 "
DeBary,Volusia,Northeast Florida,19,28.8814,-81.3243,"22,260","23,142",4,1.30%,"1,221","$75,771 ","$739,373,418 ",48,20.00%,7.00%,2.70%,2.90%,"9,758","9,037",7%,"$253,300 ","$2,289,072,100 "
Deerfield Beach,Broward,Southeast Florida,15,26.3117,-80.1254,"86,859","90,411",3,1.30%,"6,048","$49,650 ","$2,296,362,150 ",44,17.00%,9.00%,10.50%,6.60%,"46,251","36,330",21%,"$204,700 ","$7,436,751,000 "
DeFuniak Springs,Walton,Florida Panhandle,14,,,,"5,875",4,,418,"$53,984 ","$154,610,176 ",37,10.00%,5.00%,13.30%,11.80%,"2,864","2,509",12%,"$125,900 ","$315,883,100 "
DeLand,Volusia,Northeast Florida,19,29.0227,-81.2865,"37,351","40,447",3,2.60%,"2,149","$59,641 ","$917,636,426 ",40,20.00%,11.00%,5.10%,3.70%,"15,386","14,006",9%,"$234,500 ","$3,284,407,000 "
Delray Beach,Palm Beach,Southeast Florida,16,26.4559,-80.0904,"66,846","68,742",3,0.90%,"4,320","$69,804 ","$2,543,099,328 ",50,25.00%,15.00%,8.00%,5.50%,"36,432","29,016",20%,"$320,300 ","$9,293,824,800 "
Deltona,Volusia,Northeast Florida,37,28.9051,-81.211,"93,692","96,245",3,0.90%,"2,582","$62,768 ","$2,165,056,624 ",38,12.00%,4.00%,9.40%,3.90%,"34,493","32,510",6%,"$184,300 ","$5,991,593,000 "
Desoto Lakes ,Sarasota,Suncoast,0,,,,"1,759",4,,"4,246","$77,524 ","$56,127,376 ",45,16%,1%,30.20%,5.00%,724,681,6%,"$245,900 ","$167,457,900 "
Destin,Okaloosa,Florida Panhandle,8,30.3952,-86.4788,"13,931","14,420",4,1.10%,"1,875","$81,827 ","$1,149,260,215 ",43,30.00%,12.00%,7.60%,2.30%,"14,045","6,201",56%,"$357,400 ","$2,216,237,400 "
Doctor Phillips,Orange,Central Florida,3,28.4487,-81.4895,"12,328","12,733",4,1.10%,"4,010","$94,909 ","$544,113,297 ",44,27.00%,21.00%,11.20%,11.10%,"5,733","4,594",20%,"$401,500 ","$1,844,491,000 "
Doral,Miami-Dade,South Florida,14,25.816,-80.3576,"75,874","84,925",3,3.70%,"6,146","$77,774 ","$2,102,931,186 ",36,29.00%,25.00%,9.70%,3.20%,"27,039","23,238",14%,"$420,300 ","$9,766,931,400 "
Dover ,Hillsborough,Suncoast,3,,,,"3,444",4,,"1,324","$29,375 ","$34,926,875 ",37,2%,1%,18.80%,5.70%,"1,189","1,118",6%,"$144,700 ","$161,774,600 "
Dundee,Polk,Central Florida,10,28.0118,-81.6018,"5,235","5,691",4,2.70%,543,"$40,962 ","$76,598,940 ",33,4.00%,1.00%,25.60%,0.30%,"1,870","1,516",19%,"$166,200 ","$251,959,200 "
Dunedin,Pinellas,Suncoast,10,28.0257,-82.8154,"36,068","36,293",3,0.20%,"3,487","$55,729 ","$1,221,022,390 ",58,21.00%,14.00%,7.40%,4.90%,"21,910","18,254",17%,"$248,200 ","$4,530,642,800 "
Dunnellon ,Marion,Central Florida,9,,,,"2,262",4,,257,"$34,348 ","$54,372,884 ",60,12%,7%,1.50%,7.10%,"1,583","1,284",19%,"$154,600 ","$198,506,400 "
Eagle Lake ,Polk,Central Florida,2,,,,"2,984",4,,"1,253","$59,926 ","$68,255,714 ",35,11%,3%,0.00%,4.80%,"1,139",904,21%,"$159,100 ","$143,826,400 "
East Bronson ,Levy,Northeast Florida,11,,,,"1,593",4,,139,"$51,800 ","$42,476,000 ",50,9%,9%,1.10%,1.30%,820,782,5%,"$105,100 ","$82,188,200 "
East Lake,Pinellas,Suncoast,29,28.1229,-82.6891,"32,344","32,758",3,0.40%,"1,141","$86,344 ","$1,292,051,616 ",52,27.00%,17.00%,6.00%,5.80%,"14,964","13,529",10%,"$370,900 ","$5,017,906,100 "
East Lake-Orient Park,Hillsborough,Suncoast,16,28.0044,-82.3647,"28,050","29,640",3,1.80%,"1,856","$47,500 ","$550,620,000 ",32,11.00%,6.00%,12.50%,8.20%,"11,592","10,834",7%,"$161,100 ","$1,745,357,400 "
East Milton,Santa Rosa,Florida Panhandle,29,30.6172,-86.9643,"14,309","15,281",4,2.20%,532,"$57,065 ","$203,836,180 ",39,6.00%,3.00%,2.20%,3.30%,"3,572","3,284",8%,"$125,900 ","$413,455,600 "
Eastpoint ,Franklin,Florida Panhandle,7,,,,"2,761",4,,371,"$40,625 ","$48,668,750 ",37,10%,5%,29.20%,14.60%,"1,198",954,20%,"$155,500 ","$148,347,000 "
Eatonville ,Orange,Central Florida,1,,,,"2,486",4,,"2,524","$27,917 ","$27,414,494 ",39,11%,4%,23.20%,16.10%,982,913,7%,"$123,800 ","$113,029,400 "
Edgewater,Volusia,Northeast Florida,25,28.9544,-80.9408,"23,097","23,802",4,1.00%,968,"$52,097 ","$616,307,510 ",55,12.00%,7.00%,6.20%,2.30%,"11,830","10,744",9%,"$183,800 ","$1,974,747,200 "
Edgewood ,Orange,Central Florida,1,,,,"2,692",4,,"2,176","$69,755 ","$82,729,430 ",46,28%,15%,3.60%,1.50%,"1,186","1,054",11%,"$323,400 ","$340,863,600 "
Eglin AFB ,Okaloosa,Florida Panhandle,3,,,,"2,744",4,,907,"$58,239 ","$58,704,912 ",23,27%,9%,3.30%,3.60%,"1,008",784,22%,--,#VALUE!
Egypt Lake-Leto,Hillsborough,Suncoast,6,28.0173,-82.5061,"36,644","37,052",3,0.40%,"6,271","$48,240 ","$713,517,840 ",40,15.00%,5.00%,14.00%,8.20%,"14,791","14,031",5%,"$212,400 ","$2,980,184,400 "
El Portal village,Miami-Dade,South Florida,0,,,,"1,756",4,,"4,225","$94,821 ","$82,399,449 ",42,27%,20%,0.00%,1.30%,869,777,11%,"$523,700 ","$406,914,900 "
Elfers,Pasco,Suncoast,4,28.2148,-82.7216,"14,573","14,750",4,0.40%,"4,154","$44,610 ","$297,504,090 ",41,8.00%,3.00%,8.40%,3.40%,"6,669","5,414",19%,"$108,000 ","$584,712,000 "
Ellenton,Manatee,Suncoast,3,,,,"5,504",4,,"1,653","$59,723 ","$124,582,178 ",49,6.00%,3.00%,5.00%,5.80%,"2,086","1,847",11%,"$171,100 ","$316,021,700 "
Englewood,Charlotte,Suncoast,10,26.9607,-82.3541,"20,800","22,582",4,2.70%,"2,290","$55,788 ","$794,421,120 ",68,18.00%,11.00%,3.80%,4.60%,"14,240","10,173",29%,"$233,800 ","$2,378,447,400 "
Ensley,Escambia,Florida Panhandle,12,30.526,-87.2723,"23,817","24,783",4,1.30%,"2,036","$51,853 ","$559,701,282 ",39,15.00%,6.00%,15.00%,6.00%,"10,794","9,666",10%,"$125,100 ","$1,209,216,600 "
Estero,Lee,Suncoast,24,,,,"36,187",3,,"1,514","$94,095 ","$2,449,857,420 ",65,26.00%,20.00%,4.50%,3.10%,"26,036","17,289",34%,"$345,800 ","$5,978,536,200 "
Eustis,Lake,Central Florida,10,28.8564,-81.6784,"23,189","24,578",4,1.90%,"2,345","$55,298 ","$558,454,502 ",40,13.00%,6.00%,11.40%,4.40%,"10,099","8,955",11%,"$183,100 ","$1,639,660,500 "
Fairview Shores,Orange,Central Florida,3,28.6018,-81.3976,"10,722","10,866",4,0.40%,"3,664","$55,732 ","$263,500,896 ",36,16.00%,6.00%,9.60%,2.10%,"4,728","4,429",6%,"$234,800 ","$1,039,929,200 "
Feather Sound ,Pinellas,Suncoast,3,,,,"3,351",4,,"1,183","$84,063 ","$167,285,370 ",47,38%,21%,2.30%,5.30%,"1,990","1,662",16%,"$331,400 ","$550,786,800 "
Fellsmere,Indian River,Southeast Florida,58,27.7212,-80.6099,"4,834","4,726",4,-0.80%,82,"$28,341 ","$43,475,094 ",32,11.00%,1.00%,8.90%,15.70%,"1,534","1,270",17%,"$117,700 ","$149,479,000 "
Fern Park,Seminole,Central Florida,2,28.6482,-81.3456,"8,205","8,355",4,0.60%,"4,148","$56,327 ","$211,845,847 ",43,26.00%,11.00%,4.80%,3.90%,"3,761","3,517",6%,"$256,600 ","$902,462,200 "
Fernandina Beach,Nassau,Northeast Florida,11,30.6581,-81.4515,"13,052","13,520",4,1.20%,"1,182","$80,260 ","$611,340,420 ",57,28.00%,16.00%,5.20%,4.10%,"7,617","5,869",23%,"$356,600 ","$2,092,885,400 "
Ferry Pass,Escambia,Florida Panhandle,14,30.5239,-87.1939,"29,921","30,221",3,0.30%,"2,169","$57,135 ","$806,231,985 ",35,20.00%,12.00%,12.00%,5.70%,"14,111","12,953",8%,"$170,800 ","$2,212,372,400 "
Fish Hawk,Hillsborough,Suncoast,16,27.8493,-82.2151,"24,625","27,787",3,3.90%,"1,714","$119,946 ","$925,143,498 ",34,30.00%,22.00%,9.00%,5.00%,"7,713","7,419",4%,"$383,700 ","$2,846,670,300 "
Flagler Beach,Flagler,Northeast Florida,4,29.4738,-81.131,"5,160","5,364",4,1.30%,"1,495","$56,578 ","$204,812,360 ",59,21.00%,14.00%,7.70%,2.10%,"3,620","2,481",31%,"$380,000 ","$942,780,000 "
Flagler Estates ,St. Johns,Northeast Florida,12,,,,"3,577",4,,302,"$56,250 ","$86,400,000 ",35,9%,2%,23.40%,7.00%,"1,536","1,353",12%,"$147,800 ","$199,973,400 "
Fleming Island,Clay,Northeast Florida,16,30.0991,-81.7124,"29,142","29,748",3,0.70%,"1,878","$103,019 ","$1,209,030,984 ",46,28.00%,18.00%,2.50%,4.50%,"11,736","11,090",6%,"$292,800 ","$3,247,152,000 "
Floral City,Citrus,Central Florida,23,28.7067,-82.3067,"5,261","5,273",4,0.10%,226,"$50,255 ","$155,539,225 ",60,7.00%,6.00%,5.40%,3.70%,"3,095","2,397",23%,"$160,400 ","$384,478,800 "
Florida City,Miami-Dade,South Florida,6,25.4441,-80.4677,"13,085","13,637",4,1.40%,"2,277","$43,599 ","$161,883,087 ",28,4.00%,2.00%,25.90%,11.10%,"3,713","3,439",7%,"$196,100 ","$674,387,900 "
Florida Gulf Coast University ,Lee,Suncoast,2,,,,"2,530",4,,"1,050",--,#VALUE!,20,8%,0%,22.20%,12.10%,0,0,#DIV/0!,--,#VALUE!
Florida Ridge,Indian River,Southeast Florida,11,27.5835,-80.3835,"21,302","22,244",4,1.40%,"2,065","$56,017 ","$574,510,352 ",45,15.00%,5.00%,5.80%,3.90%,"10,256","7,539",26%,"$167,000 ","$1,259,013,000 "
Forest City,Seminole,Central Florida,4,28.6615,-81.4449,"14,623","14,854",4,0.50%,"3,467","$71,719 ","$409,085,176 ",42,27.00%,12.00%,5.30%,2.30%,"5,704","5,300",7%,"$296,200 ","$1,569,860,000 "
Fort Denaud ,Hendry,Suncoast,20,,,,"1,848",4,,92,"$64,757 ","$56,597,618 ",52,8%,4%,13.90%,1.60%,874,731,16%,"$256,300 ","$187,355,300 "
Fort Lauderdale,Broward,Southeast Florida,35,26.1412,-80.1467,"182,760","187,932",2,0.90%,"5,434","$66,994 ","$6,718,895,254 ",43,23.00%,15.00%,11.10%,6.50%,"100,291","78,652",22%,"$364,100 ","$28,637,193,200 "
Fort Meade,Polk,Central Florida,8,27.7659,-81.8055,"5,100","4,941",4,-1.10%,604,"$37,515 ","$97,313,910 ",43,7.00%,5.00%,17.60%,9.80%,"2,594","1,967",24%,"$117,400 ","$230,925,800 "
Fort Myers,Lee,Suncoast,40,26.6201,-81.8295,"86,395","93,625",3,2.60%,"2,350","$51,682 ","$2,237,623,872 ",40,18.00%,11.00%,11.90%,5.00%,"43,296","33,113",24%,"$263,800 ","$8,735,209,400 "
Fort Myers Beach,Lee,Suncoast,3,26.4302,-81.914,"5,582","5,372",4,-1.30%,"1,932","$76,888 ","$745,198,496 ",65,21.00%,20.00%,4.40%,4.20%,"9,692","2,757",72%,"$465,900 ","$1,284,486,300 "
Fort Myers Shores,lee,Suncoast,2,26.7139,-81.7438,"5,774","5,861",4,0.50%,"2,826","$60,536 ","$153,640,368 ",42,10.00%,3.00%,10.50%,6.40%,"2,538","2,085",18%,"$176,800 ","$368,628,000 "
Fort Pierce,St. Lucie,Southeast Florida,24,27.4261,-80.3425,"47,297","49,010",3,1.20%,"2,070","$40,323 ","$884,525,328 ",39,11.00%,6.00%,23.20%,8.00%,"21,936","17,547",20%,"$155,300 ","$2,725,049,100 "
Fort Pierce North,St. Lucie,Southeast Florida,4,27.4749,-80.3593,"6,904","7,033",4,0.60%,"1,661","$30,000 ","$94,200,000 ",40,4.00%,6.00%,20.90%,4.60%,"3,140","2,574",18%,"$108,200 ","$278,506,800 "
Fort Pierce South,St. Lucie,Southeast Florida,3,27.4097,-80.354,"5,209","5,254",4,0.30%,"1,940","$50,427 ","$103,123,215 ",40,12.00%,2.00%,8.80%,2.90%,"2,045","1,836",10%,"$163,600 ","$300,369,600 "
Fort Walton Beach,Okaloosa,Florida Panhandle,8,30.4239,-86.6187,"20,922","21,348",4,0.70%,"2,791","$55,623 ","$546,551,598 ",40,17.00%,10.00%,9.70%,4.70%,"9,826","8,775",11%,"$223,100 ","$1,957,702,500 "
Fountainebleau,Miami-Dade,South Florida,4,25.7717,-80.3454,"59,870","59,903",3,0.00%,"15,002","$54,754 ","$1,262,079,700 ",42,21.00%,11.00%,8.70%,3.00%,"23,050","21,358",7%,"$222,800 ","$4,758,562,400 "
Four Corners,Osceola,Central Florida,47,28.3332,-81.6475,"56,381","65,459",3,4.80%,"1,380","$63,403 ","$2,072,961,085 ",36,20.00%,9.00%,9.40%,5.90%,"32,695","17,851",45%,"$227,600 ","$4,062,887,600 "
Freeport,Walton,Florida Panhandle,19,30.5154,-86.1362,"5,861","7,082",4,6.10%,377,"$75,637 ","$178,049,498 ",41,22.00%,11.00%,8.50%,1.60%,"2,354","2,206",6%,"$275,100 ","$606,870,600 "
Frostproof ,Polk,Central Florida,11,,,,"2,934",4,,272,"$46,406 ","$78,797,388 ",54,7%,3%,6.60%,9.90%,"1,698","1,159",32%,"$119,400 ","$138,384,600 "
Fruit Cove,St. Johns,Northeast Florida,16,30.0968,-81.621,"32,143","32,977",3,0.90%,"2,052","$123,007 ","$1,466,366,447 ",41,35.00%,17.00%,2.60%,3.50%,"11,921","11,191",6%,"$351,800 ","$3,936,993,800 "
Fruitland Park,Lake,Central Florida,6,28.8555,-81.8893,"8,325","9,600",4,4.60%,"1,627","$67,042 ","$266,693,076 ",57,21.00%,13.00%,9.90%,5.40%,"3,978","3,371",15%,"$265,200 ","$893,989,200 "
Fruitville,Sarasota,Suncoast,7,27.3329,-82.4595,"15,484","16,162",4,1.40%,"2,373","$74,599 ","$529,279,905 ",48,22.00%,11.00%,3.80%,2.40%,"7,095","6,413",10%,"$293,800 ","$1,884,139,400 "
Fuller Heights,Polk,Central Florida,4,27.9233,-81.9966,"10,467","10,980",4,1.60%,"2,548","$68,622 ","$281,212,956 ",33,9.00%,4.00%,5.90%,4.00%,"4,098","3,655",11%,"$202,200 ","$739,041,000 "
Fussels Corner,Polk,Central Florida,5,28.0576,-81.8607,"5,560","5,560",4,0.00%,"1,035","$46,154 ","$133,061,982 ",57,9.00%,6.00%,16.90%,7.50%,"2,883","2,240",22%,"$51,100 ","$114,464,000 "
Gainesville,Alachua,Northeast Florida,63,29.6807,-82.3492,"141,085","146,104",2,1.20%,"2,317","$40,937 ","$2,592,949,580 ",27,25.00%,23.00%,12.20%,4.80%,"63,340","53,503",16%,"$182,400 ","$9,758,947,200 "
Gateway,Lee,Suncoast,6,26.581,-81.7451,"10,376","10,970",4,1.80%,"1,954","$97,214 ","$458,072,368 ",40,30.00%,18.00%,1.50%,2.00%,"4,712","3,736",21%,"$313,000 ","$1,169,368,000 "
Geneva ,Seminole,Central Florida,13,,,,"3,716",4,,292,"$110,635 ","$138,293,750 ",43,27%,14%,6.40%,1.20%,"1,250","1,156",8%,"$426,000 ","$492,456,000 "
Gibsonton,Hillsborough,Suncoast,13,27.8285,-82.3791,"18,566","19,865",4,2.20%,"1,551","$73,099 ","$451,898,018 ",32,14.00%,6.00%,17.90%,4.40%,"6,182","5,691",8%,"$217,800 ","$1,239,499,800 "
Gifford,Indian River,Southeast Florida,7,27.6735,-80.41,"5,511","4,287",4,-8.70%,631,"$22,353 ","$40,704,813 ",39,9.00%,4.00%,34.60%,18.40%,"1,821","1,463",20%,"$115,300 ","$168,683,900 "
Gladeview,Miami-Dade,South Florida,3,25.8399,-80.2389,"14,927","15,944",4,2.20%,"6,228","$38,032 ","$192,137,664 ",30,10.00%,2.00%,31.70%,8.00%,"5,052","4,583",9%,"$176,700 ","$809,816,100 "
Glenvar Heights,Miami-Dade,South Florida,4,25.7094,-80.3159,"20,786","21,953",4,1.80%,"5,325","$69,012 ","$603,302,904 ",41,34.00%,22.00%,6.00%,3.00%,"8,742","7,775",11%,"$432,600 ","$3,363,465,000 "
Golden Gate,Collier,Suncoast,4,26.1836,-81.7037,"25,321","25,729",3,0.50%,"6,589","$58,216 ","$515,444,464 ",36,9.00%,4.00%,11.60%,4.30%,"8,854","8,300",6%,"$271,000 ","$2,249,300,000 "
Golden Glades,Miami-Dade,South Florida,5,25.913,-80.2007,"32,499","32,304",3,-0.20%,"6,685","$47,180 ","$547,099,280 ",37,10.00%,4.00%,14.40%,8.50%,"11,596","10,805",7%,"$271,300 ","$2,931,396,500 "
Goldenrod,Orange,Central Florida,3,28.6119,-81.2912,"13,431","13,848",4,1.00%,"5,484","$54,087 ","$299,858,328 ",33,22.00%,12.00%,12.30%,7.90%,"5,544","5,075",8%,"$268,300 ","$1,361,622,500 "
Gonzalez,Escambia,Florida Panhandle,15,30.5887,-87.2863,"14,586","14,979",4,0.90%,991,"$76,314 ","$427,663,656 ",40,20.00%,11.00%,2.20%,3.20%,"5,604","5,436",3%,"$195,400 ","$1,062,194,400 "
Gotha ,Orange,Central Florida,2,,,,"1,604",4,,935,"$160,529 ","$74,324,927 ",28,39%,25%,9.30%,2.30%,463,399,14%,"$671,600 ","$267,968,400 "
Goulding ,Escambia,Florida Panhandle,1,,,,"3,427",4,,"2,891","$26,646 ","$29,843,520 ",39,5%,1%,4.20%,15.40%,"1,120",833,26%,"$65,700 ","$54,728,100 "
Goulds,Miami-Dade,South Florida,3,25.5612,-80.3881,"11,446","11,848",4,1.10%,"4,074","$45,836 ","$188,890,156 ",40,10.00%,6.00%,23.50%,12.20%,"4,121","3,705",10%,"$277,000 ","$1,026,285,000 "
Graceville ,Jackson,Florida Panhandle,4,,,,"2,344",4,,542,"$33,400 ","$29,959,800 ",32,10%,9%,6.70%,7.10%,897,764,15%,"$108,700 ","$83,046,800 "
Grant-Valkaria,Brevard,Northeast Florida,27,27.9343,-80.5659,"4,509","4,707",4,1.40%,173,"$82,273 ","$151,382,320 ",54,20.00%,10.00%,6.30%,2.50%,"1,840","1,644",11%,"$368,000 ","$604,992,000 "
Green Cove Springs,Clay,Northeast Florida,8,29.9904,-81.681,"9,786","10,650",4,2.80%,"1,414","$59,200 ","$223,065,600 ",41,19.00%,6.00%,10.20%,4.00%,"3,768","3,338",11%,"$192,600 ","$642,898,800 "
Greenacres,Palm Beach,Southeast Florida,6,26.6276,-80.1372,"43,990","45,916",3,1.40%,"7,850","$51,692 ","$917,533,000 ",38,14.00%,8.00%,13.10%,5.30%,"17,750","15,448",13%,"$185,800 ","$2,870,238,400 "
Greenbriar ,Pinellas,Suncoast,1,,,,"2,529",4,,"4,218","$62,500 ","$78,937,500 ",50,26%,6%,28.20%,1.10%,"1,263","1,144",9%,"$231,700 ","$265,064,800 "
Grenelefe ,Polk,Central Florida,4,,,,"2,941",4,,692,"$62,708 ","$93,811,168 ",35,18%,4%,3.60%,0.00%,"1,496",974,35%,"$260,700 ","$253,921,800 "
Grove City ,Charlotte,Suncoast,1,,,,"1,907",4,,"1,408","$46,364 ","$82,157,008 ",64,13%,10%,43.80%,6.50%,"1,772","1,026",42%,"$252,900 ","$259,475,400 "
Groveland,Lake,Central Florida,16,28.5743,-81.8596,"18,505","21,439",4,4.80%,"1,331","$78,709 ","$565,681,583 ",41,22.00%,13.00%,4.30%,5.80%,"7,187","6,766",6%,"$247,300 ","$1,673,231,800 "
Gulf Breeze,Santa Rosa,Florida Panhandle,5,30.3659,-87.1801,"6,302","6,464",4,0.80%,"1,381","$99,256 ","$292,110,408 ",50,31.00%,26.00%,2.20%,11.00%,"2,943","2,665",9%,"$436,900 ","$1,164,338,500 "
Gulf Gate,Sarasota,Suncoast,2,,,,"8,460",4,,"4,230","$60,306 ","$285,910,746 ",49,18.00%,9.00%,12.40%,3.90%,"4,741","4,147",13%,"$271,800 ","$1,127,154,600 "
Gulfport,Pinellas,Suncoast,3,27.7464,-82.7099,"11,783","11,708",4,-0.20%,"4,227","$56,896 ","$466,945,472 ",59,24.00%,18.00%,6.70%,6.70%,"8,207","6,263",24%,"$252,500 ","$1,581,407,500 "
Haines City,Polk,Central Florida,19,28.1098,-81.6157,"26,669","28,508",3,2.20%,"1,512","$50,280 ","$543,174,840 ",37,11.00%,4.00%,15.70%,5.90%,"10,803","8,276",23%,"$177,900 ","$1,472,300,400 "
Hallandale Beach,Broward,Southeast Florida,4,25.984,-80.1408,"41,217","42,447",3,1.00%,"10,073","$41,905 ","$1,212,353,555 ",46,20.00%,14.00%,16.70%,8.80%,"28,931","19,117",34%,"$230,300 ","$4,402,645,100 "
Harbor Bluffs ,Pinellas,Suncoast,1,,,,"3,050",4,,"4,405","$100,799 ","$120,152,408 ",48,27%,18%,13.70%,9.80%,"1,192","1,131",5%,"$454,900 ","$514,491,900 "
Harbour Heights,Charlotte,Suncoast,2,,,,"4,016",4,,"1,842","$53,190 ","$102,443,940 ",49,19.00%,8.00%,10.50%,14.50%,"1,926","1,680",13%,"$270,100 ","$453,768,000 "
Harlem ,Hendry,Suncoast,1,,,,"2,511",4,,"2,387","$27,293 ","$30,595,453 ",37,0%,1%,21.50%,18.30%,"1,121",919,18%,"$68,000 ","$62,492,000 "
Harlem Heights ,Lee,Suncoast,1,,,,"1,889",4,,"2,919","$26,813 ","$22,254,790 ",23,12%,5%,1.40%,14.20%,830,620,25%,"$117,400 ","$72,788,000 "
Havana ,Gadsden,Florida Panhandle,3,,,,"2,028",4,,728,"$47,650 ","$43,504,450 ",51,17%,9%,0.00%,2.20%,913,825,10%,"$169,600 ","$139,920,000 "
Haverhill ,Palm Beach,Southeast Florida,1,,,,"2,752",4,,"4,354","$65,000 ","$53,040,000 ",37,14%,6%,11.40%,6.80%,816,792,3%,"$267,500 ","$211,860,000 "
Heathrow,Seminole,Central Florida,3,28.7787,-81.3711,"6,806","7,079",4,1.30%,"2,581","$101,010 ","$315,959,280 ",46,43.00%,32.00%,6.70%,4.80%,"3,128","3,029",3%,"$430,100 ","$1,302,772,900 "
Heritage Pines ,Pasco,Suncoast,1,,,,"1,817",4,,"1,791","$59,805 ","$83,128,950 ",75,13%,11%,4.20%,12.90%,"1,390","1,127",19%,"$189,500 ","$213,566,500 "
Hernando,Citrus,Central Florida,32,28.9545,-82.3935,"9,284","9,353",4,0.20%,295,"$38,109 ","$218,707,551 ",58,11.00%,5.00%,21.20%,6.70%,"5,739","4,403",23%,"$126,500 ","$556,979,500 "
Hernando Beach ,Hernando,Central Florida,4,,,,"2,544",4,,717,"$77,385 ","$112,827,330 ",58,19%,6%,0.00%,2.30%,"1,458","1,112",24%,"$310,000 ","$344,720,000 "
Hialeah,Miami-Dade,South Florida,22,25.8699,-80.3029,"223,109","222,641",2,-0.10%,"10,317","$43,181 ","$3,397,481,080 ",46,13.00%,5.00%,15.30%,4.00%,"78,680","76,142",3%,"$280,000 ","$21,319,760,000 "
Hialeah Gardens,Miami-Dade,South Florida,3,25.8877,-80.3597,"23,068","23,464",4,0.60%,"7,282","$55,276 ","$416,007,176 ",43,15.00%,5.00%,11.00%,2.00%,"7,526","7,330",3%,"$249,200 ","$1,826,636,000 "
High Point ,Hernando,Central Florida,5,,,,"3,845",4,,775,"$41,639 ","$99,475,571 ",64,9%,2%,5.00%,19.60%,"2,389","2,050",14%,"$98,500 ","$201,925,000 "
High Springs,Alachua,Northeast Florida,22,29.7996,-82.5893,"6,215","6,473",4,1.30%,293,"$71,909 ","$155,826,803 ",36,18.00%,10.00%,15.00%,2.10%,"2,167","1,882",13%,"$201,600 ","$379,411,200 "
Highland Beach,Palm Beach,Southeast Florida,1,26.4116,-80.0644,"4,295","4,523",4,1.70%,"8,423","$125,577 ","$561,580,344 ",69,38.00%,33.00%,1.40%,3.30%,"4,472","2,222",50%,"$638,800 ","$1,419,413,600 "
Highland City,Polk,Central Florida,8,27.9635,-81.8786,"12,355","12,811",4,1.20%,"1,643","$72,742 ","$310,244,630 ",41,18.00%,10.00%,4.10%,3.00%,"4,265","3,754",12%,"$208,800 ","$783,835,200 "
Hill 'n Dale ,Hernando,Central Florida,2,,,,"3,114",4,,"1,417","$70,679 ","$67,498,445 ",46,4%,4%,2.50%,1.60%,955,855,10%,"$85,100 ","$72,760,500 "
Hilliard ,Nassau,Northeast Florida,6,,,,"2,920",4,,530,"$60,685 ","$72,822,000 ",35,10%,1%,29.00%,5.20%,"1,200","1,057",12%,"$168,300 ","$177,893,100 "
Hillsboro Beach ,Broward,Southeast Florida,0,,,,"2,011",4,,"5,500","$71,927 ","$179,457,865 ",68,24%,30%,22.20%,5.70%,"2,495","1,205",52%,"$469,400 ","$565,627,000 "
Hobe Sound,Martin,Southeast Florida,7,27.0727,-80.1424,"13,163","13,655",4,1.20%,"1,922","$56,598 ","$436,200,786 ",56,19.00%,8.00%,7.60%,4.00%,"7,707","6,193",20%,"$240,300 ","$1,488,177,900 "
